seasons,played,w,d,l,gf,ga,pts,position,highscorer,goals,league,leaguelevel,startyear,,,,,,,
1896–97,20,9,4,7,43,29,22,4,Bob Clements,22,Southern League,1,1896,,,,,,,
1897–98,22,12,4,6,52,31,28,5,Bill Joyce,36,Southern League,1,1897,,,,,,,
1898–99,24,10,4,10,40,36,24,7,John Cameron,34,Southern League,1,1898,,,,,,,
1899–1900,28,20,4,4,67,26,44,1,Tom Pratt,32,Southern League,1,1899,,,,,,,
1900–01,28,16,4,8,55,33,36,5,Sandy Brown,33,Southern League,1,1900,,,,,,,
1901–02,30,18,6,6,61,22,42,2,Sandy Brown,34,Southern League,1,1901,,,,,,,
1902–03,30,14,7,9,47,31,35,4,David Copeland,13,Southern League,1,1902,,,,,,,
1903–04,34,16,11,7,54,37,43,2,Jack Jones,26,Southern League,1,1903,,,,,,,
1904–05,34,15,8,11,53,34,38,5,Vivian Woodward,14,Southern League,1,1904,,,,,,,
1905–06,34,16,7,11,46,29,39,5,Peter Kyle,18,Southern League,1,1905,,,,,,,
1906–07,38,17,9,12,63,45,43,6,James Reid,21,Southern League,1,1906,,,,,,,
1907–08,38,17,7,14,59,48,41,7,Jimmy Pass,11,Southern League,1,1907,,,,,,,
1908–09,38,20,11,7,67,32,51,2,Billy Minter,20,Division 2,2,1908,,,,,,,
1909–10,38,11,10,17,53,69,32,15,Billy Minter,23,Division 1,1,1909,,,,,,,
1910–11,38,13,6,19,52,63,32,15,Billy Minter,25,Division 1,1,1910,,,,,,,
1911–12,38,14,9,15,53,53,37,12,Billy Minter,18,Division 1,1,1911,,,,,,,
1912–13,38,12,6,20,45,72,30,17,Billy Minter,17,Division 1,1,1912,,,,,,,
1913–14,38,12,10,16,50,62,34,17,Jimmy Cantrell,21,Division 1,1,1913,,,,,,,
1914–15,38,8,12,18,57,90,28,20,Bert Bliss,23,Division 2,2,1914,,,,,,,
1919–20,42,32,6,4,102,32,70,1,Bert Bliss,33,Division 1,1,1919,,,,,,,
1920–21,42,19,9,14,70,48,47,6,Bert Bliss,23,Division 1,1,1920,,,,,,,
1921–22,42,21,9,12,65,39,51,2,Seed/Wilson,14,Division 1,1,1921,,,,,,,
1922–23,42,17,7,18,50,50,41,12,Alex Lindsay,17,Division 1,1,1922,,,,,,,
1923–24,42,12,14,16,50,56,38,15,Alex Lindsay,20,Division 1,1,1923,,,,,,,
1924–25,42,15,12,15,52,43,42,12,Jimmy Seed,20,Division 1,1,1924,,,,,,,
1925–26,42,15,9,18,66,79,39,15,Frank Osborne,27,Division 1,1,1925,,,,,,,
1926–27,42,16,9,17,76,78,41,13,Jimmy Dimmock,21,Division 1,1,1926,,,,,,,
1927–28,42,15,8,19,74,86,38,21,Taffy O'Callaghan,28,Division 1,1,1927,,,,,,,
1928–29,42,17,9,16,75,81,43,10,Frank Osborne,16,Division 2,2,1928,,,,,,,
1929–30,42,15,9,18,59,61,39,12,Ted Harper,14,Division 2,2,1929,,,,,,,
1930–31,42,22,7,13,88,55,51,3,Ted Harper,36,Division 2,2,1930,,,,,,,
1931–32,42,16,11,15,87,78,43,8,George Hunt,26,Division 2,2,1931,,,,,,,
1932–33,42,20,15,7,96,51,55,2,George Hunt,36,Division 2,2,1932,,,,,,,
1933–34,42,21,7,14,79,56,49,3,George Hunt,35,Division 1,1,1933,,,,,,,
1934–35,42,10,10,22,54,93,30,22,Willie Evans,14,Division 1,1,1934,,,,,,,
1935–36,42,18,13,11,91,55,49,5,Johnny Morrison,28,Division 2,2,1935,,,,,,,
